rate_date,currency,rate_to_twd
2026-04-28,USD,31.403
2026-04-28,JPY,0.20486
2026-04-29,USD,31.529
2026-04-29,JPY,0.20616
2026-04-30,USD,31.58
2026-04-30,JPY,0.20649
2026-05-01,USD,31.439
2026-05-01,JPY,0.20646
2026-05-02,USD,31.489
2026-05-02,JPY,0.20702
2026-05-03,USD,31.496
2026-05-03,JPY,0.20702
2026-05-04,USD,31.432
2026-05-04,JPY,0.20679
2026-05-05,USD,31.391
2026-05-05,JPY,0.2062
2026-05-06,USD,31.3
2026-05-06,JPY,0.206
2026-05-07,USD,31.225
2026-05-07,JPY,0.20629
2026-05-08,USD,31.355
2026-05-08,JPY,0.20742
2026-05-09,USD,31.353
2026-05-09,JPY,0.20781
2026-05-10,USD,31.312
2026-05-10,JPY,0.20765
2026-05-11,USD,31.296
2026-05-11,JPY,0.20868
2026-05-12,USD,31.243
2026-05-12,JPY,0.21007
2026-05-13,USD,31.281
2026-05-13,JPY,0.21057
2026-05-14,USD,31.245
2026-05-14,JPY,0.21009
2026-05-15,USD,31.241
2026-05-15,JPY,0.21001
2026-05-16,USD,31.283
2026-05-16,JPY,0.21005
2026-05-17,USD,31.39
2026-05-17,JPY,0.21006
2026-05-18,USD,31.409
2026-05-18,JPY,0.20979
2026-05-19,USD,31.439
2026-05-19,JPY,0.21079
2026-05-20,USD,31.448
2026-05-20,JPY,0.21092
2026-05-21,USD,31.375
2026-05-21,JPY,0.21057
2026-05-22,USD,31.258
2026-05-22,JPY,0.21054
2026-05-23,USD,31.312
2026-05-23,JPY,0.21094
2026-05-24,USD,31.452
2026-05-24,JPY,0.21044
2026-05-25,USD,31.426
2026-05-25,JPY,0.21062
2026-05-26,USD,31.351
2026-05-26,JPY,0.20968
2026-05-27,USD,31.276
2026-05-27,JPY,0.21021
2026-05-28,USD,31.401
2026-05-28,JPY,0.20791
2026-05-29,USD,31.437
2026-05-29,JPY,0.20717
2026-05-30,USD,31.454
2026-05-30,JPY,0.2075
2026-05-31,USD,31.447
2026-05-31,JPY,0.20844
2026-06-01,USD,31.322
2026-06-01,JPY,0.20787
2026-06-02,USD,31.223
2026-06-02,JPY,0.20775
2026-06-03,USD,31.203
2026-06-03,JPY,0.20719
2026-06-04,USD,31.171
2026-06-04,JPY,0.20588
2026-06-05,USD,31.209
2026-06-05,JPY,0.20504
2026-06-06,USD,31.282
2026-06-06,JPY,0.20524
2026-06-07,USD,31.361
2026-06-07,JPY,0.20482
2026-06-08,USD,31.203
2026-06-08,JPY,0.20499
2026-06-09,USD,31.138
2026-06-09,JPY,0.20594
2026-06-10,USD,31.098
2026-06-10,JPY,0.20692
2026-06-11,USD,31.223
2026-06-11,JPY,0.20711
2026-06-12,USD,31.264
2026-06-12,JPY,0.20902
2026-06-13,USD,31.363
2026-06-13,JPY,0.20889
2026-06-14,USD,31.317
2026-06-14,JPY,0.20791
2026-06-15,USD,31.304
2026-06-15,JPY,0.20822
2026-06-16,USD,31.182
2026-06-16,JPY,0.20675
2026-06-17,USD,31.194
2026-06-17,JPY,0.2076
2026-06-18,USD,31.229
2026-06-18,JPY,0.2059
2026-06-19,USD,31.239
2026-06-19,JPY,0.20592
2026-06-20,USD,31.284
2026-06-20,JPY,0.20533
2026-06-21,USD,31.158
2026-06-21,JPY,0.20642
2026-06-22,USD,31.082
2026-06-22,JPY,0.20567
2026-06-23,USD,31.178
2026-06-23,JPY,0.20596
2026-06-24,USD,31.086
2026-06-24,JPY,0.20505
2026-06-25,USD,31.043
2026-06-25,JPY,0.20434
2026-06-26,USD,31.019
2026-06-26,JPY,0.20338
2026-06-27,USD,30.939
2026-06-27,JPY,0.20441
2026-06-28,USD,31.061
2026-06-28,JPY,0.20331
2026-06-29,USD,31.1
2026-06-29,JPY,0.20378
2026-06-30,USD,31.087
2026-06-30,JPY,0.20387
2026-07-01,USD,31.118
2026-07-01,JPY,0.20378
2026-07-02,USD,31.21
2026-07-02,JPY,0.20359
2026-07-03,USD,31.147
2026-07-03,JPY,0.2043
