date_key,full_date,year,month,weekday,is_weekend
20260501,2026-05-01,2026,5,5,N
20260502,2026-05-02,2026,5,6,Y
20260503,2026-05-03,2026,5,7,Y
20260504,2026-05-04,2026,5,1,N
20260505,2026-05-05,2026,5,2,N
20260506,2026-05-06,2026,5,3,N
20260507,2026-05-07,2026,5,4,N
20260508,2026-05-08,2026,5,5,N
20260509,2026-05-09,2026,5,6,Y
20260510,2026-05-10,2026,5,7,Y
20260511,2026-05-11,2026,5,1,N
20260512,2026-05-12,2026,5,2,N
20260513,2026-05-13,2026,5,3,N
20260514,2026-05-14,2026,5,4,N
20260515,2026-05-15,2026,5,5,N
20260516,2026-05-16,2026,5,6,Y
20260517,2026-05-17,2026,5,7,Y
20260518,2026-05-18,2026,5,1,N
20260519,2026-05-19,2026,5,2,N
20260520,2026-05-20,2026,5,3,N
20260521,2026-05-21,2026,5,4,N
20260522,2026-05-22,2026,5,5,N
20260523,2026-05-23,2026,5,6,Y
20260524,2026-05-24,2026,5,7,Y
20260525,2026-05-25,2026,5,1,N
20260526,2026-05-26,2026,5,2,N
20260527,2026-05-27,2026,5,3,N
20260528,2026-05-28,2026,5,4,N
20260529,2026-05-29,2026,5,5,N
20260530,2026-05-30,2026,5,6,Y
20260531,2026-05-31,2026,5,7,Y
20260601,2026-06-01,2026,6,1,N
20260602,2026-06-02,2026,6,2,N
20260603,2026-06-03,2026,6,3,N
20260604,2026-06-04,2026,6,4,N
20260605,2026-06-05,2026,6,5,N
20260606,2026-06-06,2026,6,6,Y
20260607,2026-06-07,2026,6,7,Y
20260608,2026-06-08,2026,6,1,N
20260609,2026-06-09,2026,6,2,N
20260610,2026-06-10,2026,6,3,N
20260611,2026-06-11,2026,6,4,N
20260612,2026-06-12,2026,6,5,N
20260613,2026-06-13,2026,6,6,Y
20260614,2026-06-14,2026,6,7,Y
20260615,2026-06-15,2026,6,1,N
20260616,2026-06-16,2026,6,2,N
20260617,2026-06-17,2026,6,3,N
20260618,2026-06-18,2026,6,4,N
20260619,2026-06-19,2026,6,5,N
20260620,2026-06-20,2026,6,6,Y
20260621,2026-06-21,2026,6,7,Y
20260622,2026-06-22,2026,6,1,N
20260623,2026-06-23,2026,6,2,N
20260624,2026-06-24,2026,6,3,N
20260625,2026-06-25,2026,6,4,N
20260626,2026-06-26,2026,6,5,N
20260627,2026-06-27,2026,6,6,Y
20260628,2026-06-28,2026,6,7,Y
20260629,2026-06-29,2026,6,1,N
20260630,2026-06-30,2026,6,2,N
