member_sk,member_id,member_level,city,valid_from,valid_to,is_current
1,M00001,金卡,台南市,2020-01-01,9999-12-31,Y
2,M00002,白金,高雄市,2020-01-01,9999-12-31,Y
3,M00003,銀卡,新北市,2020-01-01,9999-12-31,Y
4,M00004,金卡,台南市,2020-01-01,9999-12-31,Y
5,M00005,銀卡,新北市,2020-01-01,9999-12-31,Y
6,M00006,銀卡,桃園市,2020-01-01,9999-12-31,Y
7,M00007,金卡,新北市,2020-01-01,9999-12-31,Y
8,M00008,白金,台中市,2020-01-01,9999-12-31,Y
9,M00009,銀卡,桃園市,2020-01-01,9999-12-31,Y
10,M00010,金卡,台中市,2020-01-01,2026-05-31,N
11,M00010,白金,台中市,2026-06-01,9999-12-31,Y
12,M00011,一般,桃園市,2020-01-01,9999-12-31,Y
13,M00012,一般,高雄市,2020-01-01,9999-12-31,Y
14,M00013,白金,新北市,2020-01-01,9999-12-31,Y
15,M00014,白金,高雄市,2020-01-01,2026-05-31,N
16,M00014,白金,高雄市,2026-06-01,9999-12-31,Y
17,M00015,白金,高雄市,2020-01-01,9999-12-31,Y
18,M00016,金卡,高雄市,2020-01-01,9999-12-31,Y
19,M00017,白金,台南市,2020-01-01,9999-12-31,Y
20,M00018,金卡,桃園市,2020-01-01,9999-12-31,Y
21,M00019,金卡,台南市,2020-01-01,2026-05-31,N
22,M00019,白金,台南市,2026-06-01,9999-12-31,Y
23,M00020,白金,台南市,2020-01-01,9999-12-31,Y
24,M00021,銀卡,桃園市,2020-01-01,9999-12-31,Y
25,M00022,一般,新北市,2020-01-01,2026-05-31,N
26,M00022,銀卡,新北市,2026-06-01,9999-12-31,Y
27,M00023,一般,台北市,2020-01-01,9999-12-31,Y
28,M00024,金卡,高雄市,2020-01-01,9999-12-31,Y
29,M00025,白金,高雄市,2020-01-01,9999-12-31,Y
30,M00026,白金,高雄市,2020-01-01,2026-05-31,N
31,M00026,白金,高雄市,2026-06-01,9999-12-31,Y
32,M00027,金卡,桃園市,2020-01-01,2026-05-31,N
33,M00027,白金,桃園市,2026-06-01,9999-12-31,Y
34,M00028,銀卡,台南市,2020-01-01,9999-12-31,Y
35,M00029,一般,台中市,2020-01-01,9999-12-31,Y
36,M00030,白金,新北市,2020-01-01,9999-12-31,Y
37,M00031,金卡,台北市,2020-01-01,9999-12-31,Y
38,M00032,白金,台南市,2020-01-01,9999-12-31,Y
39,M00033,白金,桃園市,2020-01-01,9999-12-31,Y
40,M00034,一般,桃園市,2020-01-01,9999-12-31,Y
41,M00035,銀卡,新北市,2020-01-01,9999-12-31,Y
42,M00036,一般,台中市,2020-01-01,9999-12-31,Y
43,M00037,白金,桃園市,2020-01-01,9999-12-31,Y
44,M00038,金卡,新北市,2020-01-01,9999-12-31,Y
45,M00039,白金,台北市,2020-01-01,9999-12-31,Y
46,M00040,銀卡,桃園市,2020-01-01,9999-12-31,Y
47,M00041,銀卡,台中市,2020-01-01,9999-12-31,Y
48,M00042,金卡,台北市,2020-01-01,9999-12-31,Y
49,M00043,一般,台中市,2020-01-01,9999-12-31,Y
50,M00044,一般,桃園市,2020-01-01,9999-12-31,Y
51,M00045,銀卡,台中市,2020-01-01,9999-12-31,Y
52,M00046,金卡,高雄市,2020-01-01,2026-05-31,N
53,M00046,白金,高雄市,2026-06-01,9999-12-31,Y
54,M00047,一般,高雄市,2020-01-01,9999-12-31,Y
55,M00048,金卡,台南市,2020-01-01,9999-12-31,Y
56,M00049,金卡,台南市,2020-01-01,9999-12-31,Y
57,M00050,金卡,台南市,2020-01-01,9999-12-31,Y
58,M00051,一般,台中市,2020-01-01,9999-12-31,Y
59,M00052,一般,桃園市,2020-01-01,2026-05-31,N
60,M00052,銀卡,桃園市,2026-06-01,9999-12-31,Y
61,M00053,金卡,台中市,2020-01-01,9999-12-31,Y
62,M00054,白金,新北市,2020-01-01,9999-12-31,Y
63,M00055,一般,高雄市,2020-01-01,9999-12-31,Y
64,M00056,一般,台北市,2020-01-01,9999-12-31,Y
65,M00057,銀卡,桃園市,2020-01-01,9999-12-31,Y
66,M00058,銀卡,台北市,2020-01-01,2026-05-31,N
67,M00058,金卡,台北市,2026-06-01,9999-12-31,Y
68,M00059,銀卡,桃園市,2020-01-01,2026-05-31,N
69,M00059,金卡,桃園市,2026-06-01,9999-12-31,Y
70,M00060,銀卡,台南市,2020-01-01,9999-12-31,Y
71,M00061,一般,桃園市,2020-01-01,9999-12-31,Y
72,M00062,一般,台南市,2020-01-01,2026-05-31,N
73,M00062,銀卡,台南市,2026-06-01,9999-12-31,Y
74,M00063,銀卡,高雄市,2020-01-01,9999-12-31,Y
75,M00064,銀卡,台中市,2020-01-01,9999-12-31,Y
76,M00065,金卡,桃園市,2020-01-01,9999-12-31,Y
77,M00066,白金,台中市,2020-01-01,9999-12-31,Y
78,M00067,一般,台南市,2020-01-01,9999-12-31,Y
79,M00068,白金,台南市,2020-01-01,9999-12-31,Y
80,M00069,金卡,台中市,2020-01-01,9999-12-31,Y
81,M00070,一般,台北市,2020-01-01,2026-05-31,N
