product_sk,product_id,product_name,product_type,destination_country
1,P00001,日本行程1,自由行,泰國
2,P00002,越南行程2,機票,日本
3,P00003,韓國行程3,訂房,韓國
4,P00004,台灣行程4,團體旅遊,泰國
5,P00005,越南行程5,團體旅遊,韓國
6,P00006,越南行程6,機票,法國
7,P00007,日本行程7,自由行,泰國
8,P00008,日本行程8,機票,越南
9,P00009,台灣行程9,訂房,日本
10,P00010,台灣行程10,訂房,泰國
11,P00011,法國行程11,機票,日本
12,P00012,韓國行程12,機票,泰國
13,P00013,越南行程13,自由行,越南
14,P00014,越南行程14,訂房,越南
15,P00015,台灣行程15,訂房,越南
16,P00016,法國行程16,團體旅遊,泰國
17,P00017,泰國行程17,訂房,越南
18,P00018,台灣行程18,訂房,泰國
19,P00019,韓國行程19,機票,越南
20,P00020,日本行程20,自由行,日本
21,P00021,泰國行程21,訂房,台灣
22,P00022,泰國行程22,團體旅遊,越南
23,P00023,韓國行程23,機票,日本
24,P00024,日本行程24,自由行,韓國
25,P00025,法國行程25,機票,台灣
26,P00026,韓國行程26,自由行,日本
27,P00027,法國行程27,自由行,泰國
28,P00028,日本行程28,團體旅遊,台灣
29,P00029,日本行程29,機票,台灣
30,P00030,越南行程30,團體旅遊,台灣
31,P00031,韓國行程31,團體旅遊,泰國
32,P00032,韓國行程32,機票,法國
33,P00033,法國行程33,自由行,台灣
34,P00034,台灣行程34,自由行,台灣
35,P00035,越南行程35,機票,泰國
36,P00036,泰國行程36,自由行,越南
37,P00037,法國行程37,訂房,日本
38,P00038,台灣行程38,機票,越南
39,P00039,越南行程39,機票,越南
40,P00040,泰國行程40,團體旅遊,法國
41,P00041,韓國行程41,機票,越南
42,P00042,日本行程42,團體旅遊,泰國
43,P00043,越南行程43,自由行,韓國
44,P00044,泰國行程44,訂房,越南
45,P00045,法國行程45,自由行,日本
46,P00046,日本行程46,團體旅遊,日本
47,P00047,台灣行程47,團體旅遊,法國
48,P00048,韓國行程48,訂房,台灣
49,P00049,日本行程49,團體旅遊,日本
50,P00050,台灣行程50,訂房,台灣
51,P00051,泰國行程51,機票,泰國
52,P00052,法國行程52,自由行,日本
53,P00053,越南行程53,訂房,日本
54,P00054,泰國行程54,團體旅遊,台灣
55,P00055,韓國行程55,訂房,越南
56,P00056,日本行程56,機票,越南
57,P00057,韓國行程57,訂房,韓國
58,P00058,越南行程58,自由行,日本
59,P00059,越南行程59,機票,法國
60,P00060,台灣行程60,自由行,台灣
61,P00061,台灣行程61,自由行,越南
62,P00062,法國行程62,自由行,台灣
63,P00063,越南行程63,訂房,韓國
64,P00064,泰國行程64,自由行,台灣
65,P00065,日本行程65,團體旅遊,越南
66,P00066,越南行程66,訂房,韓國
67,P00067,日本行程67,訂房,台灣
68,P00068,日本行程68,機票,韓國
69,P00069,越南行程69,團體旅遊,越南
70,P00070,台灣行程70,訂房,日本
71,P00071,韓國行程71,自由行,台灣
72,P00072,越南行程72,訂房,韓國
73,P00073,韓國行程73,團體旅遊,法國
74,P00074,法國行程74,自由行,韓國
75,P00075,越南行程75,訂房,台灣
76,P00076,泰國行程76,訂房,台灣
77,P00077,韓國行程77,團體旅遊,法國
78,P00078,越南行程78,訂房,法國
79,P00079,法國行程79,訂房,泰國
80,P00080,越南行程80,機票,日本
81,P00081,泰國行程81,團體旅遊,日本
82,P00082,泰國行程82,機票,台灣
83,P00083,日本行程83,自由行,韓國
84,P00084,越南行程84,訂房,台灣
85,P00085,台灣行程85,自由行,台灣
86,P00086,法國行程86,訂房,越南
87,P00087,台灣行程87,自由行,法國
88,P00088,日本行程88,機票,台灣
89,P00089,日本行程89,訂房,泰國
90,P00090,韓國行程90,機票,泰國
91,P00091,韓國行程91,機票,台灣
92,P00092,日本行程92,訂房,台灣
93,P00093,台灣行程93,機票,泰國
94,P00094,法國行程94,團體旅遊,越南
95,P00095,韓國行程95,自由行,法國
96,P00096,日本行程96,訂房,日本
97,P00097,台灣行程97,機票,日本
98,P00098,法國行程98,自由行,越南
99,P00099,泰國行程99,自由行,台灣
100,P00100,泰國行程100,自由行,泰國
