order_id,member_sk,member_id,product_sk,date_key,order_status,quantity,amount_twd,coupon_discount_twd
O0000001,473,M00406,72,20260608,paid,2,13599.0,800
O0000002,96,M00084,45,20260606,completed,3,88035.0,600
O0000003,336,M00287,90,20260509,completed,2,91780.0,600
O0000004,157,M00136,37,20260611,paid,3,32951.0,200
O0000005,400,M00342,32,20260523,paid,2,67376.0,800
O0000006,455,M00389,19,20260602,paid,2,64135.0,200
O0000007,101,M00089,83,20260531,paid,2,61299.0,800
O0000008,301,M00255,44,20260630,paid,1,47211.0,0
O0000009,287,M00243,38,20260607,cancelled,3,112314.0,400
O0000010,30,M00026,55,20260518,cancelled,1,73116.0,800
O0000011,496,M00427,12,20260510,paid,3,31604.0,800
O0000012,322,M00274,51,20260601,completed,2,77991.0,0
O0000013,548,M00472,15,20260611,completed,3,98785.0,800
O0000014,202,M00175,9,20260501,completed,3,98984.0,400
O0000015,520,M00448,38,20260515,completed,3,59030.0,400
O0000016,220,M00190,17,20260518,paid,2,61604.0,400
O0000017,313,M00266,19,20260618,completed,1,105461.0,800
O0000018,193,M00169,9,20260520,cancelled,2,114150.0,800
O0000019,80,M00069,90,20260503,paid,1,68792.0,800
O0000020,34,M00028,2,20260519,cancelled,1,24620.0,400
O0000021,38,M00032,69,20260521,paid,3,13173.0,800
O0000022,407,M00349,82,20260605,completed,1,78628.0,800
O0000023,286,M00242,45,20260526,completed,2,35569.0,600
O0000024,521,M00449,75,20260526,paid,2,51977.0,800
O0000025,203,M00176,19,20260627,completed,3,98794.0,200
O0000026,287,M00243,16,20260608,completed,3,9554.0,800
O0000027,139,M00121,82,20260502,completed,2,56903.0,0
O0000028,24,M00021,68,20260612,completed,2,18844.0,800
O0000029,146,M00127,52,20260626,completed,3,50537.0,400
O0000030,449,M00384,49,20260523,paid,2,14371.0,600
O0000031,62,M00054,32,20260514,completed,2,101805.0,400
O0000032,257,M00220,15,20260531,completed,3,74697.0,0
O0000033,517,M00445,61,20260527,paid,3,75675.0,600
O0000034,5,M00005,29,20260630,paid,3,115755.0,0
O0000035,313,M00266,48,20260601,completed,2,18109.0,200
O0000036,218,M00188,3,20260524,paid,3,17885.0,200
O0000037,222,M00191,66,20260623,completed,2,54202.0,0
O0000038,10,M00010,72,20260520,paid,3,40261.0,0
